代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	
000659	*ST中富	0.88	5.75	0.05	5.74	5.75	201466	3227	0.00	          1.57	5.71	5.79	5.70	5.70	--  	115504136	  0.56	广告包装	广东	1.58	5.73	105927	95538	  1.11	1474	1219	--  	
000661	长春高新	-1.65	123.50	-2.07	123.35	123.50	46944	398	-0.24	          3.57	125.58	128.68	122.00	125.57	    41.01	587581504	  1.30	生物制药	吉林	5.32	125.17	24477	22467	  1.09	4	13	--  	
000662	索芙特	0.59	25.66	0.15	25.66	25.67	157218	1698	0.23	          5.46	25.99	26.00	24.60	25.51	--  	399005280	  1.03	日用化工	广西	5.49	25.38	84376	72842	  1.16	6	41	--  	
000663	永安林业	3.05	17.55	0.52	17.55	17.56	61120	675	-0.11	          3.59	17.00	17.91	16.90	17.03	   710.65	106525016	  1.50	林业	福建	5.93	17.43	30524	30595	  1.00	40	1395	--  	
000665	湖北广电	-1.17	20.26	-0.24	20.26	20.27	93162	1265	-0.04	          4.41	20.47	20.79	20.08	20.50	    35.19	190430272	  0.84	影视音像	湖北	3.46	20.44	49941	43220	  1.16	219	271	--  	
000666	经纬纺机	0.30	23.40	0.07	23.39	23.40	95103	1196	-0.04	          3.24	23.33	23.97	22.87	23.33	    27.75	221943488	  0.90	纺织机械	北京	4.71	23.34	45094	50008	  0.90	95	586	--  	
000667	美好集团	-3.21	5.13	-0.17	5.13	5.14	975350	6666	0.00	          3.81	5.23	5.24	5.10	5.30	    61.10	503059616	  0.86	全国地产	云南	2.64	5.16	489081	486269	  1.01	11410	7657	--  	
000668	荣丰控股	-3.04	28.43	-0.89	28.42	28.43	123709	2132	-0.07	          8.43	29.44	30.97	28.31	29.32	--  	362467232	  1.75	区域地产	上海	9.07	29.30	62296	61412	  1.01	147	721	--  	
000669	金鸿能源	-1.56	22.77	-0.36	22.75	22.77	67797	1073	-0.13	          3.04	23.00	23.08	22.30	23.13	    38.23	153367120	  0.78	供气供热	吉林	3.37	22.62	41034	26762	  1.53	98	249	--  	
000670	盈方微	-0.29	13.88	-0.04	13.87	13.88	241068	2342	-0.07	          4.30	13.98	14.24	13.69	13.92	--  	336942432	  0.82	元器件	湖北	3.95	13.98	118981	122086	  0.97	163	356	--  	
000671	阳 光 城	-3.34	7.82	-0.27	7.81	7.82	420851	5509	-0.12	          1.31	8.10	8.10	7.77	8.09	    28.60	331015744	  0.59	区域地产	福建	4.08	7.87	222342	198508	  1.12	1337	1549	--  	
000672	上峰水泥	--  	8.34	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	8.34	   140.91	0	  0.00	水泥	甘肃	0.00	8.34	0	0	--  	0	0	--  	
000673	当代东方	-2.91	35.33	-1.06	35.32	35.33	106815	839	-0.19	          5.13	36.08	36.10	34.80	36.39	   155.90	378152448	  0.82	广告包装	山西	3.57	35.40	58184	48630	  1.20	92	93	--  	
000676	智度投资	1.47	38.75	0.56	38.74	38.75	220234	2925	0.00	          8.77	38.05	39.98	37.50	38.19	--  	855146432	  0.95	互联网	河南	6.49	38.83	108963	111270	  0.98	27	853	--  	
000677	*ST海龙	--  	5.90	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	5.90	--  	0	  0.00	化纤	山东	0.00	5.90	0	0	--  	0	0	--  	
000678	襄阳轴承	0.19	10.52	0.02	10.51	10.52	186701	1854	-0.09	          6.20	10.44	10.87	10.19	10.50	--  	197730160	  1.05	机械基件	湖北	6.48	10.59	101161	85540	  1.18	141	296	--  	
000679	大连友谊	9.98	18.07	1.64	18.07	--  	98254	1278	0.00	          2.76	18.07	18.07	18.07	16.43	    45.22	177544912	  0.31	百货	辽宁	0.00	18.07	91971	6282	 14.64	186311	0	--  	
000680	山推股份	-2.09	6.57	-0.14	6.56	6.57	168814	4114	0.15	          1.77	6.63	6.71	6.53	6.71	--  	111351376	  0.51	工程机械	山东	2.68	6.60	99298	69516	  1.43	1499	250	--  	
000681	视觉中国	-0.70	34.17	-0.24	34.16	34.17	75000	404	0.02	          3.81	34.60	35.30	33.81	34.41	   199.09	259398880	  0.74	软件服务	江苏	4.33	34.59	37512	37488	  1.00	653	94	--  	
